GEOID2,FULL2_NAME,MOVEDIN,MOVEDOUT,MOVEDNET,AGE,state,county,Vintage_5yr_ending,Geography_Level,Cohort
48453,"Travis County, Texas",29.0,313.0,-284.0,3,48,141,2010,county,18-24 (College / Entry)
48029,"Bexar County, Texas",188.0,275.0,-87.0,4,48,141,2010,county,18-24 (College / Entry)
35013,"Do�a Ana County, New Mexico",291.0,260.0,31.0,4,48,141,2010,county,18-24 (College / Entry)
48453,"Travis County, Texas",67.0,249.0,-182.0,4,48,141,2010,county,18-24 (College / Entry)
06073,"San Diego County, California",8.0,243.0,-235.0,4,48,141,2010,county,18-24 (College / Entry)
35013,"Do�a Ana County, New Mexico",108.0,238.0,-130.0,3,48,141,2010,county,18-24 (College / Entry)
48201,"Harris County, Texas",47.0,154.0,-107.0,4,48,141,2010,county,18-24 (College / Entry)
04013,"Maricopa County, Arizona",124.0,149.0,-25.0,4,48,141,2010,county,18-24 (College / Entry)
48027,"Bell County, Texas",58.0,120.0,-62.0,4,48,141,2010,county,18-24 (College / Entry)
48439,"Tarrant County, Texas",60.0,106.0,-46.0,3,48,141,2010,county,18-24 (College / Entry)
37051,"Cumberland County, North Carolina",73.0,105.0,-32.0,4,48,141,2010,county,18-24 (College / Entry)
06037,"Los Angeles County, California",16.0,94.0,-78.0,4,48,141,2010,county,18-24 (College / Entry)
48029,"Bexar County, Texas",22.0,86.0,-64.0,3,48,141,2010,county,18-24 (College / Entry)
08041,"El Paso County, Colorado",89.0,85.0,4.0,4,48,141,2010,county,18-24 (College / Entry)
35035,"Otero County, New Mexico",35.0,85.0,-50.0,4,48,141,2010,county,18-24 (College / Entry)
53053,"Pierce County, Washington",36.0,82.0,-46.0,4,48,141,2010,county,18-24 (College / Entry)
40031,"Comanche County, Oklahoma",93.0,77.0,16.0,4,48,141,2010,county,18-24 (College / Entry)
06071,"San Bernardino County, California",0.0,76.0,-76.0,4,48,141,2010,county,18-24 (College / Entry)
48157,"Fort Bend County, Texas",,75.0,,3,48,141,2010,county,18-24 (College / Entry)
48303,"Lubbock County, Texas",21.0,73.0,-52.0,3,48,141,2010,county,18-24 (College / Entry)
04019,"Pima County, Arizona",34.0,72.0,-38.0,3,48,141,2010,county,18-24 (College / Entry)
13215,"Muscogee County, Georgia",,69.0,,4,48,141,2010,county,18-24 (College / Entry)
48167,"Galveston County, Texas",,69.0,,4,48,141,2010,county,18-24 (College / Entry)
48201,"Harris County, Texas",0.0,68.0,-68.0,3,48,141,2010,county,18-24 (College / Entry)
29169,"Pulaski County, Missouri",80.0,68.0,12.0,4,48,141,2010,county,18-24 (College / Entry)
35035,"Otero County, New Mexico",0.0,66.0,-66.0,3,48,141,2010,county,18-24 (College / Entry)
48121,"Denton County, Texas",16.0,64.0,-48.0,3,48,141,2010,county,18-24 (College / Entry)
48209,"Hays County, Texas",,62.0,,3,48,141,2010,county,18-24 (College / Entry)
08031,"Denver County, Colorado",0.0,60.0,-60.0,4,48,141,2010,county,18-24 (College / Entry)
49049,"Utah County, Utah",,54.0,,4,48,141,2010,county,18-24 (College / Entry)
06037,"Los Angeles County, California",0.0,53.0,-53.0,3,48,141,2010,county,18-24 (College / Entry)
06075,"San Francisco County, California",0.0,52.0,-52.0,3,48,141,2010,county,18-24 (College / Entry)
48121,"Denton County, Texas",28.0,51.0,-23.0,4,48,141,2010,county,18-24 (College / Entry)
48085,"Collin County, Texas",19.0,50.0,-31.0,4,48,141,2010,county,18-24 (College / Entry)
48439,"Tarrant County, Texas",44.0,50.0,-6.0,4,48,141,2010,county,18-24 (College / Entry)
53033,"King County, Washington",,49.0,,4,48,141,2010,county,18-24 (College / Entry)
