County,Year,Cohort,N_recent_movers_weighted,Pct_born_in_Texas,Pct_born_in_Mexico,Pct_foreign_born,Pct_noncitizen,Pct_federal_employee,Pct_active_duty_military,Pct_protective_service_occ,Pct_healthcare_industry,Pct_recently_married,Mean_personal_income
Bexar (San Antonio),2012,18-24 (College / Entry),61665,60.0,6.5,11.0,9.8,13.2,9.4,1.8,6.1,10.7,11488
Bexar (San Antonio),2013,18-24 (College / Entry),66544,54.6,6.1,13.9,12.7,10.5,7.8,1.5,4.0,9.6,11903
Bexar (San Antonio),2014,18-24 (College / Entry),62926,64.2,3.1,10.8,8.9,11.0,5.5,2.7,4.3,6.3,12570
Bexar (San Antonio),2015,18-24 (College / Entry),61304,56.9,5.0,8.6,6.4,8.3,5.1,1.8,5.4,8.9,13627
Bexar (San Antonio),2016,18-24 (College / Entry),55185,60.6,5.0,12.4,9.0,8.1,6.2,1.1,5.5,8.5,12139
Bexar (San Antonio),2017,18-24 (College / Entry),54406,60.8,5.9,8.5,6.6,12.1,9.4,2.6,6.6,7.6,13301
Bexar (San Antonio),2018,18-24 (College / Entry),49892,62.5,5.4,11.5,8.1,4.9,4.1,1.9,4.8,5.9,13423
Bexar (San Antonio),2019,18-24 (College / Entry),64170,60.6,5.4,8.8,7.2,10.5,8.5,3.0,5.6,6.0,15123
Bexar (San Antonio),2021,18-24 (College / Entry),56310,56.4,2.3,6.1,4.4,16.0,12.4,2.5,3.6,6.4,19634
Bexar (San Antonio),2022,18-24 (College / Entry),67067,59.8,4.6,8.4,6.4,15.9,10.8,2.1,6.8,6.4,17190
Bexar (San Antonio),2023,18-24 (College / Entry),64453,64.0,4.7,8.9,7.2,14.4,9.1,2.0,7.5,7.7,20159
Bexar (San Antonio),2012,25-30 (Young Adults),49034,51.8,9.0,17.1,13.5,10.1,4.4,3.2,13.1,16.1,27276
Bexar (San Antonio),2013,25-30 (Young Adults),50683,57.8,8.6,18.8,16.0,5.5,2.3,1.6,7.9,14.7,26596
Bexar (San Antonio),2014,25-30 (Young Adults),52625,59.0,8.0,14.5,12.3,8.4,4.3,2.9,11.6,16.7,26730
Bexar (San Antonio),2015,25-30 (Young Adults),55696,47.8,8.2,16.4,13.3,13.5,7.2,0.4,9.4,16.4,29490
Bexar (San Antonio),2016,25-30 (Young Adults),49083,55.7,7.2,15.8,12.4,6.9,3.0,1.3,11.6,15.4,28081
Bexar (San Antonio),2017,25-30 (Young Adults),50386,46.0,5.4,12.5,9.5,7.9,4.7,1.7,12.6,14.9,31589
Bexar (San Antonio),2018,25-30 (Young Adults),59912,54.9,5.5,12.6,8.2,9.0,3.6,4.0,14.1,12.8,30469
Bexar (San Antonio),2019,25-30 (Young Adults),57894,53.3,7.8,14.6,11.4,6.6,3.9,1.7,11.9,9.8,32385
Bexar (San Antonio),2021,25-30 (Young Adults),57278,56.3,11.0,15.3,10.4,7.6,5.1,2.5,10.3,11.1,34428
Bexar (San Antonio),2022,25-30 (Young Adults),55501,58.3,7.8,17.9,12.2,7.2,4.4,2.0,10.0,18.2,37160
Bexar (San Antonio),2023,25-30 (Young Adults),57728,55.7,5.6,14.0,11.2,8.1,5.6,1.3,12.8,11.7,39231
Dallas,2012,18-24 (College / Entry),64144,54.3,13.1,22.2,19.0,1.7,0.1,1.1,4.8,7.4,13562
Dallas,2013,18-24 (College / Entry),71592,52.8,15.0,22.4,18.7,1.8,0.4,1.2,4.3,13.4,14135
Dallas,2014,18-24 (College / Entry),67524,52.6,11.8,22.9,20.6,0.5,0.2,1.9,6.5,8.4,16119
Dallas,2015,18-24 (College / Entry),61732,52.2,8.8,20.0,17.6,1.4,0.0,0.8,3.8,10.9,16578
Dallas,2016,18-24 (College / Entry),58812,52.6,10.0,20.5,16.8,0.8,0.0,1.1,4.7,7.7,18035
Dallas,2017,18-24 (College / Entry),57796,49.3,8.7,23.4,20.9,0.9,0.0,1.9,6.1,10.2,17096
Dallas,2018,18-24 (College / Entry),55982,50.6,10.0,19.5,16.9,0.7,0.0,0.9,6.7,7.1,21370
Dallas,2019,18-24 (College / Entry),53521,52.6,5.5,19.2,17.0,0.4,0.1,0.9,5.4,7.2,20794
Dallas,2021,18-24 (College / Entry),53980,49.9,7.7,18.5,16.1,1.1,0.3,2.4,6.3,7.0,22493
Dallas,2022,18-24 (College / Entry),64699,48.4,3.8,14.0,12.2,3.7,0.1,0.7,7.4,5.2,25530
Dallas,2023,18-24 (College / Entry),59356,50.1,3.9,22.4,20.4,1.1,0.0,0.9,5.6,6.8,24268
Dallas,2012,25-30 (Young Adults),70616,44.8,12.2,27.7,23.8,1.3,0.2,0.6,9.1,14.8,34576
Dallas,2013,25-30 (Young Adults),73537,48.3,11.6,29.6,26.1,1.9,0.0,0.9,10.3,15.5,31155
Dallas,2014,25-30 (Young Adults),80470,44.1,13.8,28.4,24.6,2.1,0.2,1.0,10.9,13.9,34844
Dallas,2015,25-30 (Young Adults),73648,42.6,8.7,30.7,27.3,1.2,0.0,1.5,10.4,17.5,32286
Dallas,2016,25-30 (Young Adults),78459,43.4,9.6,26.2,21.7,0.8,0.0,1.4,9.0,15.8,38288
Dallas,2017,25-30 (Young Adults),76809,44.4,7.4,25.5,23.0,1.4,0.0,1.3,9.1,15.9,37982
Dallas,2018,25-30 (Young Adults),77966,46.1,7.2,24.7,20.8,3.0,0.0,1.0,10.2,14.3,38934
Dallas,2019,25-30 (Young Adults),78108,44.4,6.0,23.7,20.7,2.0,0.0,1.7,9.0,16.3,41452
Dallas,2021,25-30 (Young Adults),68324,41.5,6.9,19.4,16.0,1.6,0.0,0.7,8.9,12.0,45562
Dallas,2022,25-30 (Young Adults),73701,43.1,6.9,27.3,21.0,1.5,0.0,0.4,9.4,11.0,54792
Dallas,2023,25-30 (Young Adults),72567,40.6,8.3,29.1,24.4,1.7,0.3,1.6,9.1,13.7,47091
El Paso,2012,18-24 (College / Entry),24278,51.4,10.2,12.8,10.3,19.0,12.5,2.3,6.3,24.1,10715
El Paso,2013,18-24 (College / Entry),21107,40.4,10.9,15.1,13.7,28.3,21.2,1.4,4.7,20.0,12372
El Paso,2014,18-24 (College / Entry),21426,40.4,11.1,14.7,14.0,22.8,19.2,2.2,7.2,18.4,12585
El Paso,2015,18-24 (College / Entry),25000,50.9,7.9,8.7,7.9,31.8,26.2,0.9,4.3,22.9,15788
El Paso,2016,18-24 (College / Entry),16796,62.8,4.3,7.7,5.7,19.8,16.6,5.7,4.5,15.4,14303
El Paso,2017,18-24 (College / Entry),20454,59.4,7.6,9.2,7.0,24.1,13.6,1.2,4.5,21.4,14839
El Paso,2018,18-24 (College / Entry),18843,51.3,10.1,10.1,8.6,25.5,20.2,6.0,5.6,20.5,14580
El Paso,2019,18-24 (College / Entry),21196,51.4,5.1,7.8,4.4,29.0,26.5,3.2,2.6,17.7,14887
El Paso,2021,18-24 (College / Entry),19685,41.4,11.9,18.3,12.5,26.8,21.0,4.1,5.3,28.7,15875
El Paso,2022,18-24 (College / Entry),16767,52.8,6.3,8.3,4.3,20.8,15.7,1.0,4.2,22.1,19592
El Paso,2023,18-24 (College / Entry),20056,54.6,7.4,7.9,5.2,21.1,14.5,2.5,4.2,15.6,19909
El Paso,2012,25-30 (Young Adults),18571,32.5,10.5,17.4,12.3,28.9,20.5,3.8,6.8,19.9,24930
El Paso,2013,25-30 (Young Adults),18263,47.3,14.9,21.9,18.1,17.5,14.1,1.6,10.7,16.1,21882
El Paso,2014,25-30 (Young Adults),17274,37.1,15.9,24.3,19.3,15.4,11.5,4.0,3.1,13.3,19997
El Paso,2015,25-30 (Young Adults),19872,40.5,13.0,16.8,14.6,20.7,13.9,2.2,4.1,20.2,25747
El Paso,2016,25-30 (Young Adults),25480,51.5,15.0,17.3,12.4,17.3,13.9,3.7,10.1,16.9,24873
El Paso,2017,25-30 (Young Adults),20189,38.7,17.8,21.2,12.2,16.4,11.6,1.7,6.5,9.4,22162
El Paso,2018,25-30 (Young Adults),20127,51.6,12.4,15.5,10.5,22.1,7.2,11.3,10.6,28.8,26719
El Paso,2019,25-30 (Young Adults),18434,56.0,12.2,15.1,6.2,11.4,7.6,2.9,7.8,12.9,24941
El Paso,2021,25-30 (Young Adults),13792,44.3,13.3,18.4,15.4,16.3,12.8,1.9,7.7,14.5,28364
El Paso,2022,25-30 (Young Adults),17972,54.0,3.0,7.6,5.7,20.3,16.3,2.6,12.9,12.9,29352
El Paso,2023,25-30 (Young Adults),16310,59.9,9.3,11.5,9.1,11.3,5.9,2.6,6.2,12.9,34029
Harris (Houston),2012,18-24 (College / Entry),116725,55.3,10.3,22.6,20.1,1.1,0.1,1.5,4.5,11.2,13038
Harris (Houston),2013,18-24 (College / Entry),113530,51.2,9.4,23.8,21.4,0.9,0.0,0.9,5.5,11.3,14313
Harris (Houston),2014,18-24 (College / Entry),119858,50.7,8.8,26.8,24.2,0.2,0.0,0.6,3.7,9.8,13793
Harris (Houston),2015,18-24 (College / Entry),114408,53.0,5.2,21.3,19.4,1.5,0.6,2.2,4.2,7.7,16710
Harris (Houston),2016,18-24 (College / Entry),110371,55.0,6.2,24.1,22.1,1.2,0.3,0.8,5.8,9.3,15722
Harris (Houston),2017,18-24 (College / Entry),105292,57.4,5.1,18.9,15.9,1.4,0.1,2.5,4.7,9.9,16056
Harris (Houston),2018,18-24 (College / Entry),105490,58.3,4.6,20.0,17.9,0.7,0.0,1.4,4.5,7.8,16719
Harris (Houston),2019,18-24 (College / Entry),94001,58.7,4.3,21.9,20.9,0.8,0.0,1.5,5.6,9.7,19964
Harris (Houston),2021,18-24 (College / Entry),110040,56.8,4.8,17.9,15.9,1.0,0.0,1.3,6.8,8.6,18506
Harris (Houston),2022,18-24 (College / Entry),109397,55.0,2.4,17.7,14.0,3.9,0.4,1.5,4.9,10.4,19074
Harris (Houston),2023,18-24 (College / Entry),113637,53.2,3.3,21.6,18.0,2.6,0.5,1.6,6.4,7.0,22557
Harris (Houston),2012,25-30 (Young Adults),129774,46.2,12.6,32.2,26.6,1.9,0.0,3.0,7.1,18.5,31143
Harris (Houston),2013,25-30 (Young Adults),133951,43.2,12.7,31.7,28.2,1.1,0.0,2.4,7.7,17.0,31978
Harris (Houston),2014,25-30 (Young Adults),131586,43.7,7.0,31.1,26.9,1.3,0.1,2.1,9.1,17.5,33795
Harris (Houston),2015,25-30 (Young Adults),135998,43.3,11.1,35.4,30.8,1.0,0.0,2.9,7.7,17.2,34784
Harris (Houston),2016,25-30 (Young Adults),130461,43.4,10.8,28.7,25.7,2.0,0.1,1.3,6.6,17.6,32241
Harris (Houston),2017,25-30 (Young Adults),128774,47.2,8.2,28.7,24.0,2.1,0.3,2.3,10.3,15.7,33913
Harris (Houston),2018,25-30 (Young Adults),118895,44.6,6.9,24.4,20.9,1.2,0.1,0.6,9.6,14.1,39697
Harris (Houston),2019,25-30 (Young Adults),123509,51.2,4.3,23.9,19.3,2.1,0.2,1.7,10.0,15.6,38590
Harris (Houston),2021,25-30 (Young Adults),124085,42.4,6.4,26.0,20.3,1.9,0.3,1.3,12.7,14.1,40468
Harris (Houston),2022,25-30 (Young Adults),118819,41.1,3.9,28.3,22.8,2.1,0.2,1.9,10.4,14.4,42801
Harris (Houston),2023,25-30 (Young Adults),123430,44.8,5.4,27.7,22.0,1.9,0.3,2.8,8.8,13.5,43041
Tarrant (Fort Worth),2012,18-24 (College / Entry),56760,55.5,8.0,16.1,12.6,2.5,0.4,1.0,6.4,8.3,12533
Tarrant (Fort Worth),2013,18-24 (College / Entry),59864,58.8,5.6,13.9,11.7,2.1,0.3,1.4,5.7,6.2,12722
Tarrant (Fort Worth),2014,18-24 (College / Entry),64962,55.7,6.3,15.2,11.8,0.6,0.0,1.4,5.4,7.4,13228
Tarrant (Fort Worth),2015,18-24 (College / Entry),49639,63.8,2.0,11.9,9.6,0.7,0.3,2.0,5.6,10.6,15956
Tarrant (Fort Worth),2016,18-24 (College / Entry),53738,55.8,5.5,19.4,18.1,1.0,0.4,2.2,5.3,8.0,15426
Tarrant (Fort Worth),2017,18-24 (College / Entry),49160,56.0,6.6,16.1,14.7,2.0,0.4,1.1,4.4,11.1,15375
Tarrant (Fort Worth),2018,18-24 (College / Entry),48915,55.8,2.9,7.8,6.3,1.4,0.6,1.5,5.7,9.1,16995
Tarrant (Fort Worth),2019,18-24 (College / Entry),45439,51.1,4.0,12.2,9.5,2.7,1.1,1.7,4.6,11.7,15908
Tarrant (Fort Worth),2021,18-24 (College / Entry),42921,52.7,3.5,11.4,10.4,1.8,0.4,1.4,5.4,5.9,17974
Tarrant (Fort Worth),2022,18-24 (College / Entry),47348,49.5,2.4,12.8,9.9,2.3,0.0,1.5,4.0,9.2,17961
Tarrant (Fort Worth),2023,18-24 (College / Entry),50825,50.5,3.4,16.4,13.6,4.6,1.5,1.5,4.4,5.1,22187
Tarrant (Fort Worth),2012,25-30 (Young Adults),54291,50.8,15.0,24.9,19.5,4.1,1.1,0.3,9.2,13.6,25036
Tarrant (Fort Worth),2013,25-30 (Young Adults),50927,56.8,8.1,14.1,12.3,3.4,0.1,4.7,12.6,15.5,31282
Tarrant (Fort Worth),2014,25-30 (Young Adults),52159,50.1,9.5,16.9,14.3,2.0,0.0,2.6,11.5,11.8,30909
Tarrant (Fort Worth),2015,25-30 (Young Adults),55996,48.4,8.1,19.4,14.3,1.2,0.0,2.0,10.4,14.7,29649
Tarrant (Fort Worth),2016,25-30 (Young Adults),56821,47.7,8.6,17.7,14.6,2.5,0.0,1.4,9.3,12.5,33018
Tarrant (Fort Worth),2017,25-30 (Young Adults),53423,47.8,8.2,16.3,14.2,2.7,0.2,2.1,14.5,17.5,37416
Tarrant (Fort Worth),2018,25-30 (Young Adults),52499,51.5,4.2,16.0,11.6,3.0,0.1,1.9,9.5,12.6,34137
Tarrant (Fort Worth),2019,25-30 (Young Adults),48321,49.1,5.8,22.1,18.3,0.7,0.4,1.7,9.2,16.6,33041
Tarrant (Fort Worth),2021,25-30 (Young Adults),44372,53.2,4.4,15.7,11.6,1.9,0.3,1.8,10.7,14.9,38692
Tarrant (Fort Worth),2022,25-30 (Young Adults),49832,43.7,7.9,19.5,15.1,4.0,0.1,1.7,8.7,13.0,40883
Tarrant (Fort Worth),2023,25-30 (Young Adults),49139,45.6,6.6,20.8,16.9,2.2,0.2,2.1,11.2,18.1,42697
Travis (Austin),2012,18-24 (College / Entry),64286,56.4,5.6,13.5,9.8,0.9,0.0,0.8,4.6,3.4,11268
Travis (Austin),2013,18-24 (College / Entry),54956,58.3,6.3,15.3,12.2,0.1,0.0,1.8,2.2,5.2,10893
Travis (Austin),2014,18-24 (College / Entry),45741,61.5,4.0,13.1,9.9,1.2,0.1,0.9,4.6,5.7,11014
Travis (Austin),2015,18-24 (College / Entry),40496,62.3,4.9,11.1,8.2,0.2,0.1,2.0,3.3,4.5,13123
Travis (Austin),2016,18-24 (College / Entry),46114,57.9,2.3,11.4,9.8,0.5,0.1,0.4,2.5,4.1,14603
Travis (Austin),2017,18-24 (College / Entry),44636,57.1,4.0,15.7,11.9,0.5,0.0,0.9,3.6,3.6,13753
Travis (Austin),2018,18-24 (College / Entry),45622,59.7,3.8,11.7,7.2,0.3,0.0,0.4,4.4,5.7,14210
Travis (Austin),2019,18-24 (College / Entry),45296,55.8,2.9,12.6,9.4,0.2,0.0,2.8,4.5,4.8,15147
Travis (Austin),2021,18-24 (College / Entry),52566,48.1,3.0,16.0,11.5,1.4,0.0,2.3,4.7,3.1,18523
