County,Cohort,Total_Cohort_Population,Year
Bexar (San Antonio),18-24 (College / Entry),199950,2013
Bexar (San Antonio),18-24 (College / Entry),196212,2014
Bexar (San Antonio),18-24 (College / Entry),200959,2015
Bexar (San Antonio),18-24 (College / Entry),203504,2016
Bexar (San Antonio),18-24 (College / Entry),203971,2017
Bexar (San Antonio),18-24 (College / Entry),205423,2018
Bexar (San Antonio),18-24 (College / Entry),204429,2019
Bexar (San Antonio),18-24 (College / Entry),205484,2021
Bexar (San Antonio),18-24 (College / Entry),216826,2022
Bexar (San Antonio),18-24 (College / Entry),210385,2023
Bexar (San Antonio),25-30 (Young Adults),169762,2013
Bexar (San Antonio),25-30 (Young Adults),182372,2014
Bexar (San Antonio),25-30 (Young Adults),184412,2015
Bexar (San Antonio),25-30 (Young Adults),188153,2016
Bexar (San Antonio),25-30 (Young Adults),187765,2017
Bexar (San Antonio),25-30 (Young Adults),198512,2018
Bexar (San Antonio),25-30 (Young Adults),197511,2019
Bexar (San Antonio),25-30 (Young Adults),190876,2021
Bexar (San Antonio),25-30 (Young Adults),193536,2022
Bexar (San Antonio),25-30 (Young Adults),190517,2023
Dallas,18-24 (College / Entry),244435,2013
Dallas,18-24 (College / Entry),245347,2014
Dallas,18-24 (College / Entry),250477,2015
Dallas,18-24 (College / Entry),246449,2016
Dallas,18-24 (College / Entry),249140,2017
Dallas,18-24 (College / Entry),251122,2018
Dallas,18-24 (College / Entry),251962,2019
Dallas,18-24 (College / Entry),245897,2021
Dallas,18-24 (College / Entry),259186,2022
Dallas,18-24 (College / Entry),253821,2023
Dallas,25-30 (Young Adults),244110,2013
Dallas,25-30 (Young Adults),244363,2014
Dallas,25-30 (Young Adults),244455,2015
Dallas,25-30 (Young Adults),260940,2016
Dallas,25-30 (Young Adults),268211,2017
Dallas,25-30 (Young Adults),275732,2018
Dallas,25-30 (Young Adults),272092,2019
Dallas,25-30 (Young Adults),259942,2021
Dallas,25-30 (Young Adults),262542,2022
Dallas,25-30 (Young Adults),265792,2023
El Paso,18-24 (College / Entry),99494,2013
El Paso,18-24 (College / Entry),99659,2014
El Paso,18-24 (College / Entry),95789,2015
El Paso,18-24 (College / Entry),94544,2016
El Paso,18-24 (College / Entry),93903,2017
El Paso,18-24 (College / Entry),96326,2018
El Paso,18-24 (College / Entry),93960,2019
El Paso,18-24 (College / Entry),95057,2021
El Paso,18-24 (College / Entry),97808,2022
El Paso,18-24 (College / Entry),92847,2023
El Paso,25-30 (Young Adults),70826,2013
El Paso,25-30 (Young Adults),73827,2014
El Paso,25-30 (Young Adults),74232,2015
El Paso,25-30 (Young Adults),78607,2016
El Paso,25-30 (Young Adults),79491,2017
El Paso,25-30 (Young Adults),80360,2018
El Paso,25-30 (Young Adults),80903,2019
El Paso,25-30 (Young Adults),82590,2021
El Paso,25-30 (Young Adults),84399,2022
El Paso,25-30 (Young Adults),78812,2023
Harris (Houston),18-24 (College / Entry),428939,2013
Harris (Houston),18-24 (College / Entry),440605,2014
Harris (Houston),18-24 (College / Entry),440326,2015
Harris (Houston),18-24 (College / Entry),434506,2016
Harris (Houston),18-24 (College / Entry),432589,2017
Harris (Houston),18-24 (College / Entry),429852,2018
Harris (Houston),18-24 (College / Entry),434869,2019
Harris (Houston),18-24 (College / Entry),434365,2021
Harris (Houston),18-24 (College / Entry),462522,2022
Harris (Houston),18-24 (College / Entry),453585,2023
Harris (Houston),25-30 (Young Adults),428678,2013
Harris (Houston),25-30 (Young Adults),437660,2014
Harris (Houston),25-30 (Young Adults),447594,2015
Harris (Houston),25-30 (Young Adults),452233,2016
Harris (Houston),25-30 (Young Adults),457671,2017
Harris (Houston),25-30 (Young Adults),464523,2018
Harris (Houston),25-30 (Young Adults),456059,2019
Harris (Houston),25-30 (Young Adults),429989,2021
Harris (Houston),25-30 (Young Adults),440032,2022
Harris (Houston),25-30 (Young Adults),439466,2023
Tarrant (Fort Worth),18-24 (College / Entry),182581,2013
Tarrant (Fort Worth),18-24 (College / Entry),183564,2014
Tarrant (Fort Worth),18-24 (College / Entry),185738,2015
Tarrant (Fort Worth),18-24 (College / Entry),190664,2016
Tarrant (Fort Worth),18-24 (College / Entry),196167,2017
Tarrant (Fort Worth),18-24 (College / Entry),192825,2018
Tarrant (Fort Worth),18-24 (College / Entry),198610,2019
Tarrant (Fort Worth),18-24 (College / Entry),198954,2021
Tarrant (Fort Worth),18-24 (College / Entry),210576,2022
Tarrant (Fort Worth),18-24 (College / Entry),209531,2023
Tarrant (Fort Worth),25-30 (Young Adults),168538,2013
Tarrant (Fort Worth),25-30 (Young Adults),171538,2014
Tarrant (Fort Worth),25-30 (Young Adults),179386,2015
Tarrant (Fort Worth),25-30 (Young Adults),188998,2016
Tarrant (Fort Worth),25-30 (Young Adults),181376,2017
Tarrant (Fort Worth),25-30 (Young Adults),188287,2018
Tarrant (Fort Worth),25-30 (Young Adults),190182,2019
Tarrant (Fort Worth),25-30 (Young Adults),190323,2021
Tarrant (Fort Worth),25-30 (Young Adults),191405,2022
Tarrant (Fort Worth),25-30 (Young Adults),194041,2023
Travis (Austin),18-24 (College / Entry),117682,2013
Travis (Austin),18-24 (College / Entry),115433,2014
Travis (Austin),18-24 (College / Entry),114701,2015
Travis (Austin),18-24 (College / Entry),113181,2016
Travis (Austin),18-24 (College / Entry),113473,2017
Travis (Austin),18-24 (College / Entry),114879,2018
Travis (Austin),18-24 (College / Entry),117227,2019
Travis (Austin),18-24 (College / Entry),117488,2021
Travis (Austin),18-24 (College / Entry),124908,2022
Travis (Austin),18-24 (College / Entry),120312,2023
Travis (Austin),25-30 (Young Adults),144324,2013
Travis (Austin),25-30 (Young Adults),140400,2014
Travis (Austin),25-30 (Young Adults),150860,2015
Travis (Austin),25-30 (Young Adults),155981,2016
Travis (Austin),25-30 (Young Adults),151567,2017
Travis (Austin),25-30 (Young Adults),150664,2018
Travis (Austin),25-30 (Young Adults),153869,2019
Travis (Austin),25-30 (Young Adults),146171,2021
Travis (Austin),25-30 (Young Adults),152805,2022
Travis (Austin),25-30 (Young Adults),152332,2023
