County,Year,Cohort,N_recent_movers_weighted,Pct_born_in_Texas_overall,Pct_hispanic_among_movers,N_hispanic_movers_weighted,N_nonhispanic_movers_weighted,Pct_born_in_Texas_among_hispanic,Pct_born_in_Texas_among_nonhispanic
Bexar (San Antonio),2012,18-24 (College / Entry),61665,60.0,100.0,61665,0,60.0,
Bexar (San Antonio),2013,18-24 (College / Entry),66544,54.6,100.0,66544,0,54.6,
Bexar (San Antonio),2014,18-24 (College / Entry),62926,64.2,100.0,62926,0,64.2,
Bexar (San Antonio),2015,18-24 (College / Entry),61304,56.9,100.0,61304,0,56.9,
Bexar (San Antonio),2016,18-24 (College / Entry),55185,60.6,100.0,55185,0,60.6,
Bexar (San Antonio),2017,18-24 (College / Entry),54406,60.8,100.0,54406,0,60.8,
Bexar (San Antonio),2018,18-24 (College / Entry),49892,62.5,100.0,49892,0,62.5,
Bexar (San Antonio),2019,18-24 (College / Entry),64170,60.6,100.0,64170,0,60.6,
Bexar (San Antonio),2021,18-24 (College / Entry),56310,56.4,53.8,30306,26004,78.7,30.5
Bexar (San Antonio),2022,18-24 (College / Entry),67067,59.8,59.4,39808,27259,72.8,40.9
Bexar (San Antonio),2023,18-24 (College / Entry),64453,64.0,59.1,38098,26355,74.6,48.5
Bexar (San Antonio),2012,25-30 (Young Adults),49034,51.8,100.0,49034,0,51.8,
Bexar (San Antonio),2013,25-30 (Young Adults),50683,57.8,100.0,50683,0,57.8,
Bexar (San Antonio),2014,25-30 (Young Adults),52625,59.0,100.0,52625,0,59.0,
Bexar (San Antonio),2015,25-30 (Young Adults),55696,47.8,100.0,55696,0,47.8,
Bexar (San Antonio),2016,25-30 (Young Adults),49083,55.7,100.0,49083,0,55.7,
Bexar (San Antonio),2017,25-30 (Young Adults),50386,46.0,100.0,50386,0,46.0,
Bexar (San Antonio),2018,25-30 (Young Adults),59912,54.9,100.0,59912,0,54.9,
Bexar (San Antonio),2019,25-30 (Young Adults),57894,53.3,100.0,57894,0,53.3,
Bexar (San Antonio),2021,25-30 (Young Adults),57278,56.3,60.5,34637,22641,65.7,42.1
Bexar (San Antonio),2022,25-30 (Young Adults),55501,58.3,57.5,31932,23569,71.4,40.5
Bexar (San Antonio),2023,25-30 (Young Adults),57728,55.7,54.2,31260,26468,65.1,44.6
Bexar (San Antonio),2012,31-40 (Established Career),56920,46.6,100.0,56920,0,46.6,
Bexar (San Antonio),2013,31-40 (Established Career),54009,53.2,100.0,54009,0,53.2,
Bexar (San Antonio),2014,31-40 (Established Career),55828,58.0,100.0,55828,0,58.0,
Bexar (San Antonio),2015,31-40 (Established Career),62438,57.5,100.0,62438,0,57.5,
Bexar (San Antonio),2016,31-40 (Established Career),50319,50.0,100.0,50319,0,50.0,
Bexar (San Antonio),2017,31-40 (Established Career),51356,50.2,100.0,51356,0,50.2,
Bexar (San Antonio),2018,31-40 (Established Career),50975,43.5,100.0,50975,0,43.5,
Bexar (San Antonio),2019,31-40 (Established Career),50717,49.1,100.0,50717,0,49.1,
Bexar (San Antonio),2021,31-40 (Established Career),55782,46.7,53.1,29596,26186,59.2,32.6
Bexar (San Antonio),2022,31-40 (Established Career),63949,48.0,57.3,36613,27336,61.5,29.8
Bexar (San Antonio),2023,31-40 (Established Career),64831,49.8,54.9,35572,29259,58.3,39.4
Bexar (San Antonio),2012,41-50 (Family / Peak Career),34143,42.3,100.0,34143,0,42.3,
Bexar (San Antonio),2013,41-50 (Family / Peak Career),35085,44.7,100.0,35085,0,44.7,
Bexar (San Antonio),2014,41-50 (Family / Peak Career),34009,48.2,100.0,34009,0,48.2,
Bexar (San Antonio),2015,41-50 (Family / Peak Career),35605,46.8,100.0,35605,0,46.8,
Bexar (San Antonio),2016,41-50 (Family / Peak Career),27105,47.5,100.0,27105,0,47.5,
Bexar (San Antonio),2017,41-50 (Family / Peak Career),32030,45.8,100.0,32030,0,45.8,
Bexar (San Antonio),2018,41-50 (Family / Peak Career),33246,39.9,100.0,33246,0,39.9,
