County,Vintage_5yr_ending,Cohort,Total_Out_Migrants
Bexar (San Antonio),2010,18-24 (College / Entry),18409.0
Bexar (San Antonio),2010,25-29 (Young Adults),8579.0
Bexar (San Antonio),2011,All ages (no cohort data published for this year),74851.0
Bexar (San Antonio),2012,All ages (no cohort data published for this year),72867.0
Bexar (San Antonio),2013,All ages (no cohort data published for this year),78148.0
Bexar (San Antonio),2014,All ages (no cohort data published for this year),82502.0
Bexar (San Antonio),2015,18-24 (College / Entry),19060.0
Bexar (San Antonio),2015,25-29 (Young Adults),9353.0
Bexar (San Antonio),2016,All ages (no cohort data published for this year),84226.0
Bexar (San Antonio),2017,All ages (no cohort data published for this year),87376.0
Bexar (San Antonio),2018,All ages (no cohort data published for this year),88902.0
Bexar (San Antonio),2019,All ages (no cohort data published for this year),91375.0
Bexar (San Antonio),2020,All ages (no cohort data published for this year),92341.0
Bexar (San Antonio),2022,All ages (no cohort data published for this year),0.0
Dallas,2010,18-24 (College / Entry),29980.0
Dallas,2010,25-29 (Young Adults),20282.0
Dallas,2011,All ages (no cohort data published for this year),142150.0
Dallas,2012,All ages (no cohort data published for this year),135794.0
Dallas,2013,All ages (no cohort data published for this year),137925.0
Dallas,2014,All ages (no cohort data published for this year),139655.0
Dallas,2015,18-24 (College / Entry),26400.0
Dallas,2015,25-29 (Young Adults),19092.0
Dallas,2016,All ages (no cohort data published for this year),140532.0
Dallas,2017,All ages (no cohort data published for this year),144397.0
Dallas,2018,All ages (no cohort data published for this year),145913.0
Dallas,2019,All ages (no cohort data published for this year),147387.0
Dallas,2020,All ages (no cohort data published for this year),152795.0
Dallas,2022,All ages (no cohort data published for this year),0.0
El Paso,2010,18-24 (College / Entry),5583.0
El Paso,2010,25-29 (Young Adults),3144.0
El Paso,2011,All ages (no cohort data published for this year),34509.0
El Paso,2012,All ages (no cohort data published for this year),35030.0
El Paso,2013,All ages (no cohort data published for this year),37461.0
El Paso,2014,All ages (no cohort data published for this year),41164.0
El Paso,2015,18-24 (College / Entry),6841.0
El Paso,2015,25-29 (Young Adults),4242.0
El Paso,2016,All ages (no cohort data published for this year),43969.0
El Paso,2017,All ages (no cohort data published for this year),47323.0
El Paso,2018,All ages (no cohort data published for this year),45825.0
El Paso,2019,All ages (no cohort data published for this year),44548.0
El Paso,2020,All ages (no cohort data published for this year),45817.0
El Paso,2022,All ages (no cohort data published for this year),0.0
Harris (Houston),2010,18-24 (College / Entry),39490.0
Harris (Houston),2010,25-29 (Young Adults),22556.0
Harris (Houston),2011,All ages (no cohort data published for this year),173706.0
Harris (Houston),2012,All ages (no cohort data published for this year),167636.0
Harris (Houston),2013,All ages (no cohort data published for this year),164550.0
Harris (Houston),2014,All ages (no cohort data published for this year),169402.0
Harris (Houston),2015,18-24 (College / Entry),37646.0
Harris (Houston),2015,25-29 (Young Adults),21368.0
Harris (Houston),2016,All ages (no cohort data published for this year),176769.0
Harris (Houston),2017,All ages (no cohort data published for this year),181588.0
Harris (Houston),2018,All ages (no cohort data published for this year),189365.0
Harris (Houston),2019,All ages (no cohort data published for this year),191203.0
Harris (Houston),2020,All ages (no cohort data published for this year),189998.0
Harris (Houston),2022,All ages (no cohort data published for this year),0.0
Tarrant (Fort Worth),2010,18-24 (College / Entry),20760.0
Tarrant (Fort Worth),2010,25-29 (Young Adults),11063.0
Tarrant (Fort Worth),2011,All ages (no cohort data published for this year),93925.0
Tarrant (Fort Worth),2012,All ages (no cohort data published for this year),92795.0
Tarrant (Fort Worth),2013,All ages (no cohort data published for this year),92503.0
Tarrant (Fort Worth),2014,All ages (no cohort data published for this year),95025.0
Tarrant (Fort Worth),2015,18-24 (College / Entry),19429.0
Tarrant (Fort Worth),2015,25-29 (Young Adults),11624.0
Tarrant (Fort Worth),2016,All ages (no cohort data published for this year),98259.0
Tarrant (Fort Worth),2017,All ages (no cohort data published for this year),99667.0
Tarrant (Fort Worth),2018,All ages (no cohort data published for this year),100833.0
Tarrant (Fort Worth),2019,All ages (no cohort data published for this year),100515.0
Tarrant (Fort Worth),2020,All ages (no cohort data published for this year),100712.0
Tarrant (Fort Worth),2022,All ages (no cohort data published for this year),0.0
Travis (Austin),2010,18-24 (College / Entry),16121.0
Travis (Austin),2010,25-29 (Young Adults),10752.0
Travis (Austin),2011,All ages (no cohort data published for this year),69328.0
Travis (Austin),2012,All ages (no cohort data published for this year),73144.0
Travis (Austin),2013,All ages (no cohort data published for this year),75561.0
Travis (Austin),2014,All ages (no cohort data published for this year),80190.0
Travis (Austin),2015,18-24 (College / Entry),18056.0
Travis (Austin),2015,25-29 (Young Adults),12584.0
Travis (Austin),2016,All ages (no cohort data published for this year),89574.0
Travis (Austin),2017,All ages (no cohort data published for this year),91502.0
Travis (Austin),2018,All ages (no cohort data published for this year),89867.0
Travis (Austin),2019,All ages (no cohort data published for this year),90383.0
Travis (Austin),2020,All ages (no cohort data published for this year),90679.0
Travis (Austin),2022,All ages (no cohort data published for this year),0.0
